CurrentTime,CurrentStage,CurrentSpot,Action,RuleListType,ObjectName,RoleName,RuleName,FiringTimeCondition,FiringStageCondition,DebugInfo
-1/-1:00,Initialization,home1,remove,FutureRuleList,creator1,CreatorRole,CreatorRule,0/08:00,DynamicAddition,spot: agent:
-1/-1:00,Initialization,home2,remove,FutureRuleList,creator2,CreatorRole,CreatorRule,0/08:00,DynamicAddition,spot: agent:
-1/-1:00,Initialization,home3,remove,FutureRuleList,creator3,CreatorRole,CreatorRule,0/08:00,DynamicAddition,spot: agent:
0/08:00,DynamicAddition,home1,register,FutureRuleList,creator1,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot6 agent:dummyAgent6
0/08:00,DynamicAddition,home1,fire,,creator1,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot6 agent:dummyAgent6
0/08:00,DynamicAddition,home2,register,FutureRuleList,creator2,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot7 agent:dummyAgent7
0/08:00,DynamicAddition,home2,fire,,creator2,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot7 agent:dummyAgent7
0/08:00,DynamicAddition,home3,register,FutureRuleList,creator3,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot8 agent:dummyAgent8
0/08:00,DynamicAddition,home3,fire,,creator3,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot8 agent:dummyAgent8
0/08:00,DynamicAddition,home1,remove,TodaysRuleList,creator1,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot6 agent:dummyAgent6
0/08:00,DynamicAddition,home2,remove,TodaysRuleList,creator2,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot7 agent:dummyAgent7
0/08:00,DynamicAddition,home3,remove,TodaysRuleList,creator3,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot8 agent:dummyAgent8
0/16:00,DynamicRemoval,home4,fire,,killer1,KillerRole,KillerRule,16:00,DynamicRemoval,spot:dummySpot5 agent:dummyAgent5
0/16:00,DynamicRemoval,home5,fire,,killer2,KillerRole,KillerRule,16:00,DynamicRemoval,spot:dummySpot6 agent:dummyAgent7
0/16:00,DynamicRemoval,home6,fire,,killer3,KillerRole,KillerRule,16:00,DynamicRemoval,spot:dummySpot7 agent:dummyAgent3
0/23:00,DynamicRemoval,home1,remove,FutureRuleList,creator1,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot6 agent:dummyAgent6
0/23:00,DynamicRemoval,home2,remove,FutureRuleList,creator2,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot7 agent:dummyAgent7
0/23:00,DynamicRemoval,home3,remove,FutureRuleList,creator3,CreatorRole,CreatorRule,1/08:00,DynamicAddition,spot:dummySpot8 agent:dummyAgent8
1/08:00,DynamicAddition,home1,register,FutureRuleList,creator1,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot9 agent:dummyAgent9
1/08:00,DynamicAddition,home1,fire,,creator1,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot9 agent:dummyAgent9
1/08:00,DynamicAddition,home2,register,FutureRuleList,creator2,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot10 agent:dummyAgent10
1/08:00,DynamicAddition,home2,fire,,creator2,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot10 agent:dummyAgent10
1/08:00,DynamicAddition,home3,register,FutureRuleList,creator3,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot11 agent:dummyAgent11
1/08:00,DynamicAddition,home3,fire,,creator3,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot11 agent:dummyAgent11
1/08:00,DynamicAddition,home1,remove,TodaysRuleList,creator1,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot9 agent:dummyAgent9
1/08:00,DynamicAddition,home2,remove,TodaysRuleList,creator2,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot10 agent:dummyAgent10
1/08:00,DynamicAddition,home3,remove,TodaysRuleList,creator3,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot11 agent:dummyAgent11
1/16:00,DynamicRemoval,home4,fire,,killer1,KillerRole,KillerRule,16:00,DynamicRemoval,spot:dummySpot10 agent:dummyAgent6
1/16:00,DynamicRemoval,home5,fire,,killer2,KillerRole,KillerRule,16:00,DynamicRemoval,spot:dummySpot3 agent:dummyAgent1
1/16:00,DynamicRemoval,home6,fire,,killer3,KillerRole,KillerRule,16:00,DynamicRemoval,spot:dummySpot1 agent:dummyAgent11
1/23:00,DynamicRemoval,home1,remove,FutureRuleList,creator1,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot9 agent:dummyAgent9
1/23:00,DynamicRemoval,home2,remove,FutureRuleList,creator2,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot10 agent:dummyAgent10
1/23:00,DynamicRemoval,home3,remove,FutureRuleList,creator3,CreatorRole,CreatorRule,2/08:00,DynamicAddition,spot:dummySpot11 agent:dummyAgent11
2/08:00,DynamicAddition,home1,register,FutureRuleList,creator1,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot12 agent:dummyAgent12
2/08:00,DynamicAddition,home1,fire,,creator1,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot12 agent:dummyAgent12
2/08:00,DynamicAddition,home2,register,FutureRuleList,creator2,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot13 agent:dummyAgent13
2/08:00,DynamicAddition,home2,fire,,creator2,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot13 agent:dummyAgent13
2/08:00,DynamicAddition,home3,register,FutureRuleList,creator3,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot14 agent:dummyAgent14
2/08:00,DynamicAddition,home3,fire,,creator3,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot14 agent:dummyAgent14
2/08:00,DynamicAddition,home1,remove,TodaysRuleList,creator1,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot12 agent:dummyAgent12
2/08:00,DynamicAddition,home2,remove,TodaysRuleList,creator2,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot13 agent:dummyAgent13
2/08:00,DynamicAddition,home3,remove,TodaysRuleList,creator3,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot14 agent:dummyAgent14
2/16:00,DynamicRemoval,home4,fire,,killer1,KillerRole,KillerRule,16:00,DynamicRemoval,spot:dummySpot4 agent:dummyAgent10
2/16:00,DynamicRemoval,home5,fire,,killer2,KillerRole,KillerRule,16:00,DynamicRemoval,spot:dummySpot14 agent:dummyAgent4
2/16:00,DynamicRemoval,home6,fire,,killer3,KillerRole,KillerRule,16:00,DynamicRemoval,spot:dummySpot2 agent:dummyAgent8
2/23:00,DynamicRemoval,home1,remove,FutureRuleList,creator1,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot12 agent:dummyAgent12
2/23:00,DynamicRemoval,home2,remove,FutureRuleList,creator2,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot13 agent:dummyAgent13
2/23:00,DynamicRemoval,home3,remove,FutureRuleList,creator3,CreatorRole,CreatorRule,3/08:00,DynamicAddition,spot:dummySpot14 agent:dummyAgent14
