CurrentTime,home_key,workplace_key
0/00:00,1000,0
0/01:00,2000,0
0/02:00,3000,0
0/03:00,4000,0
0/04:00,5000,0
0/05:00,6000,0
0/06:00,7000,0
0/07:00,8000,0
0/08:00,9000,0
0/09:00,9000,1000
0/10:00,9000,2000
0/11:00,9000,3000
0/12:00,9000,4000
0/13:00,9000,5000
0/14:00,9000,6000
0/15:00,9000,7000
0/16:00,9000,8000
0/17:00,10000,8000
0/18:00,11000,8000
0/19:00,12000,8000
0/20:00,13000,8000
0/21:00,14000,8000
0/22:00,15000,8000
0/23:00,16000,8000
1/00:00,17000,8000
1/01:00,18000,8000
1/02:00,19000,8000
1/03:00,20000,8000
1/04:00,21000,8000
1/05:00,22000,8000
1/06:00,23000,8000
1/07:00,24000,8000
1/08:00,25000,8000
1/09:00,25000,9000
1/10:00,25000,10000
1/11:00,25000,11000
1/12:00,25000,12000
1/13:00,25000,13000
1/14:00,25000,14000
1/15:00,25000,15000
1/16:00,25000,16000
1/17:00,26000,16000
1/18:00,27000,16000
1/19:00,28000,16000
1/20:00,29000,16000
1/21:00,30000,16000
1/22:00,31000,16000
1/23:00,32000,16000
2/00:00,33000,16000
2/01:00,34000,16000
2/02:00,35000,16000
2/03:00,36000,16000
2/04:00,37000,16000
2/05:00,38000,16000
2/06:00,39000,16000
2/07:00,40000,16000
2/08:00,41000,16000
2/09:00,41000,17000
2/10:00,41000,18000
2/11:00,41000,19000
2/12:00,41000,20000
2/13:00,41000,21000
2/14:00,41000,22000
2/15:00,41000,23000
2/16:00,41000,24000
2/17:00,42000,24000
2/18:00,43000,24000
2/19:00,44000,24000
2/20:00,45000,24000
2/21:00,46000,24000
2/22:00,47000,24000
2/23:00,48000,24000
3/00:00,49000,24000
3/01:00,50000,24000
3/02:00,51000,24000
3/03:00,52000,24000
3/04:00,53000,24000
3/05:00,54000,24000
3/06:00,55000,24000
3/07:00,56000,24000
3/08:00,57000,24000
3/09:00,57000,25000
3/10:00,57000,26000
3/11:00,57000,27000
3/12:00,57000,28000
3/13:00,57000,29000
3/14:00,57000,30000
3/15:00,57000,31000
3/16:00,57000,32000
3/17:00,58000,32000
3/18:00,59000,32000
3/19:00,60000,32000
3/20:00,61000,32000
3/21:00,62000,32000
3/22:00,63000,32000
3/23:00,64000,32000
4/00:00,65000,32000
4/01:00,66000,32000
4/02:00,67000,32000
4/03:00,68000,32000
4/04:00,69000,32000
4/05:00,70000,32000
4/06:00,71000,32000
4/07:00,72000,32000
4/08:00,73000,32000
4/09:00,73000,33000
4/10:00,73000,34000
4/11:00,73000,35000
4/12:00,73000,36000
4/13:00,73000,37000
4/14:00,73000,38000
4/15:00,73000,39000
4/16:00,73000,40000
4/17:00,74000,40000
4/18:00,75000,40000
4/19:00,76000,40000
4/20:00,77000,40000
4/21:00,78000,40000
4/22:00,79000,40000
4/23:00,80000,40000
5/00:00,81000,40000
5/01:00,82000,40000
5/02:00,83000,40000
5/03:00,84000,40000
5/04:00,85000,40000
5/05:00,86000,40000
5/06:00,87000,40000
5/07:00,88000,40000
5/08:00,89000,40000
5/09:00,89000,41000
5/10:00,89000,42000
5/11:00,89000,43000
5/12:00,89000,44000
5/13:00,89000,45000
5/14:00,89000,46000
5/15:00,89000,47000
5/16:00,89000,48000
5/17:00,90000,48000
5/18:00,91000,48000
5/19:00,92000,48000
5/20:00,93000,48000
5/21:00,94000,48000
5/22:00,95000,48000
5/23:00,96000,48000
6/00:00,97000,48000
6/01:00,98000,48000
6/02:00,99000,48000
6/03:00,100000,48000
6/04:00,101000,48000
6/05:00,102000,48000
6/06:00,103000,48000
6/07:00,104000,48000
6/08:00,105000,48000
6/09:00,105000,49000
6/10:00,105000,50000
6/11:00,105000,51000
6/12:00,105000,52000
6/13:00,105000,53000
6/14:00,105000,54000
6/15:00,105000,55000
6/16:00,105000,56000
6/17:00,106000,56000
6/18:00,107000,56000
6/19:00,108000,56000
6/20:00,109000,56000
6/21:00,110000,56000
6/22:00,111000,56000
6/23:00,112000,56000
